frequency,gain_sch
1,21.228225
1.023293,21.028225
1.0471285,20.828225
1.0715193,20.628225
1.0964782,20.428226
1.1220185,20.228226
1.1481536,20.028226
1.1748976,19.828226
1.2022644,19.628227
1.2302688,19.428227
1.2589254,19.228227
1.2882496,19.028228
1.3182567,18.828228
1.3489629,18.628229
1.3803843,18.428229
1.4125375,18.228229
1.4454398,18.02823
1.4791084,17.82823
1.5135612,17.628231
1.5488166,17.428231
1.5848932,17.228232
1.6218101,17.028232
1.6595869,16.828233
1.6982437,16.628234
1.7378008,16.428234
1.7782794,16.228235
1.8197009,16.028236
1.8620871,15.828236
1.9054607,15.628237
1.9498446,15.428238
1.9952623,15.228239
2.0417379,15.02824
2.0892961,14.82824
2.1379621,14.628241
2.1877616,14.428242
2.2387211,14.228244
2.2908677,14.028245
2.3442288,13.828246
2.3988329,13.628247
2.4547089,13.428248
2.5118864,13.22825
2.5703958,13.028251
2.630268,12.828252
2.6915348,12.628254
2.7542287,12.428256
2.8183829,12.228257
2.8840315,12.028259
2.9512092,11.828261
3.0199517,11.628263
3.0902954,11.428265
3.1622777,11.228267
3.2359366,11.028269
3.3113112,10.828271
3.3884416,10.628274
3.4673685,10.428276
3.5481339,10.228279
3.6307805,10.028282
3.7153523,9.8282848
3.801894,9.6282878
3.8904514,9.428291
3.9810717,9.2282943
4.0738028,9.0282978
4.1686938,8.8283015
4.2657952,8.6283054
4.3651583,8.4283094
4.4668359,8.2283136
4.5708819,8.028318
4.6773514,7.8283226
4.7863009,7.6283275
4.8977882,7.4283325
5.0118723,7.2283378
5.1286138,7.0283434
5.2480746,6.8283492
5.370318,6.6283553
5.4954087,6.4283617
5.6234133,6.2283683
5.7543994,6.0283753
5.8884366,5.8283826
6.0255959,5.6283903
6.16595,5.4283983
6.3095734,5.2284067
6.4565423,5.0284155
6.6069345,4.8284247
6.7608298,4.6284344
6.9183097,4.4284445
7.0794578,4.2284551
7.2443596,4.0284662
7.4131024,3.8284778
7.5857758,3.6284899
7.7624712,3.4285026
7.9432823,3.2285159
8.1283052,3.0285299
8.3176377,2.8285445
8.5113804,2.6285598
8.7096359,2.4285758
8.9125094,2.2285926
9.1201084,2.0286101
9.332543,1.8286285
9.5499259,1.6286478
9.7723722,1.4286679
10,1.228689
10.23293,1.0287111
10.471285,0.82873427
10.715193,0.62875851
10.964782,0.42878388
11.220185,0.22881046
11.481536,0.028838283
11.748976,0.17113258
12.022644,0.37110207
12.302688,0.57107013
12.589254,0.77103667
12.882496,0.97100164
13.182567,1.170965
13.489629,1.3709266
